,AdmArea,District,Address,PropertyType,ObjectArea,Note,global_id,coordinates
1047,Восточный административный округ,Соколиная Гора,"город Москва, Мироновская улица, дом 40",помещение,55.2,-,1016551020,"[37.7341240157046, 55.7910400926346]"
1048,Восточный административный округ,Соколиная Гора,"город Москва, Мироновская улица, дом 40",помещение,54.0,-,1016551021,"[37.7341240157046, 55.7910400926346]"
1049,Восточный административный округ,Соколиная Гора,"город Москва, Мироновская улица, дом 40",помещение,26.6,-,1016551022,"[37.7341240157046, 55.7910400926346]"
1050,Восточный административный округ,Соколиная Гора,"город Москва, Зверинецкая улица, дом 22",помещение,1.8,-,1016551026,"[37.7320058413866, 55.7842354248299]"
1051,Восточный административный округ,Соколиная Гора,"город Москва, Мироновская улица, дом 40",помещение,75.0,-,1016551028,"[37.7341240157046, 55.7910400926346]"
1052,Восточный административный округ,Измайлово,"город Москва, Первомайская улица, дом 32/23",помещение,74.3,-,1016551030,"[37.7827392493181, 55.7922034390693]"
1053,Зеленоградский административный округ,Старое Крюково,"город Москва, город Зеленоград, корпус 924",помещение,27.3,-,1016551031,"[37.1810545166791, 55.9846655952508]"
1054,Зеленоградский административный округ,Силино,"город Москва, город Зеленоград, улица Гоголя, дом 11А",помещение,58.7,-,1016551032,"[37.1715312192619, 55.9875573050965]"
1055,Зеленоградский административный округ,Силино,"город Москва, город Зеленоград, улица Гоголя, дом 11А",помещение,52.1,-,1016551033,"[37.1715312192619, 55.9875573050965]"
1056,Зеленоградский административный округ,Савелки,"город Москва, город Зеленоград, корпус 317А, строение 1",помещение,88.5,-,1016551058,"[37.2163135959783, 55.9968172324938]"
1057,Северный административный округ,Савеловский,"город Москва, Писцовая улица, дом 9-11",помещение,81.8,-,1016551129,"[37.5722958700938, 55.7972087201161]"
1058,Юго-Восточный административный округ,Люблино,"город Москва, улица Судакова, дом 5",помещение,120.2,-,1016551150,"[37.7425131334443, 55.6727148896907]"
1059,Юго-Восточный административный округ,Нижегородский,"город Москва, Подъёмная улица, дом 10",помещение,109.7,-,1016551190,"[37.7067168860446, 55.7405202670206]"
1060,Южный административный округ,Нагатино-Садовники,"город Москва, Каширское шоссе, дом 11, корпус 4",помещение,129.5,-,1016551240,"[37.632349288089, 55.6677564134288]"
